time like where freq busy educ sex  age home math work  own cdrom email grade
   2    3    3    2    0    1    0   19    1    0   10    1    0    1    4
   0    3    3    3    0    0    0   18    1    1    0    1    1    1    2
   0    3    1    3    0    0    1   19    1    0    0    1    0    1    3
   0.5  3    3    3    0    1    0   19    1    0    0    1    0    1    3
   0    3    3    4    0    1    0   19    1    1    0    0    0    1    3
   0    3    2    4    0    0    1   19    0    0   12    0    0    0    3
   0    4    3    4    0    0    1   20    1    1   10    1    0    1    3
   0    3    3    4    0    0    0   19    1    0   13    0    0    1    3
   2    3    2    1    1    1    1   19    0    0    0    0    0    0    4
   0    3    3    4    0    1    1   19    1    1    0    1    0    1    4
   0    3    1    4    0    0    0   20    1    0    0    1    0    0    3
   0    3    2    4    0    0    0   19    1    0    0    1    0    1    4
   0    2    4    1    0    1    0   19    1    1    0    0    0    1    4
   3    3    3    2    1    0    0   18    0    0    0    0    0    1    3
   1    3    5    2    0    1    0   18    1    1   14    1    0    1    3
   0    5   99   99   99   99    1   19    1    0    0    1    0    1    3
   0    3    3    4    0    1    1   21    1    0    2    1    0    1    4
   0    3    2    3    0    0    1   20    1    0    0    1    0    1    3
   2    2    2    2    1    0    1   18    1    0    0    1    0    1    4
   0    3   99   99   99   99    0   19    0    0    9    0   99    1    3
   2    3    2    2    0    1    1   20    1    0   15    1    0    0    4
   0    3    2    3    0    1    1   24    1    0   10    0    0    0    4
   2    3    3    1    1    1    1   19    0    0    0    1    0    1    4
   0    5   99   99   99   99    0   19    0    0    0    0   99    0    2
   0    5   99   99   99   99    1   21    1    0    0    1    0    0    3
   0    3    3    4    0   99    0   20    1    1    0    1    0    1    3
   0    2    3    4    0    0    1   22    1    1    0    1    1    1    4
   0    3    2    3    0    0    1   18    0    0   10    0    0    0    3
   0    4    3    4    0    0    1   19    1    1    0    1    0    1    3
   0    4    3    4    0    1    0   20    1    0    0    1    0    1    3
   0    4    3    4    0    0    0   19    1    1    0    0    0    1    4
   1    3    5    2    0    1    1   19    1    0   99    1    1    1    3
   0    4    2    3    0    0    1   19    1    1    0    1    1    1    3
   0    2    1    3    0    0    1   19    1    0   10    0    0    1    3
   0    3    3    1    0    1    0   19    1    0   12    1    0    1    3
   0.1  2    6    2    0    1    1   18    0    0    5    1    1    1    4
   0.5  4    3    3    0    0    0   19    1    0    0    1    0    0    3
   1    3    4    4   99    1    0   20    1    0    0    1    0    1    3
   0    3    1    4    0    0    0   19    0    0    0    0    0    1    3
   0    3    3    2    1    1    0   20    1    0   20    1    0    0    3
   0    4   99   99    0    0    0   19    1    0    5    1    0    1    4
   2    2    4    2    0    0    1   19    1    0    0    1    0    1    3
   2    3    4    2    0    1    1   19    0    0   10    1    1    1    3
   0.5  3    4    2    1    0    1   19    1    1   99    0    0    1    4
   0    3    4   99    0    0    1   19    1   99   99    1    0    1    3
   2    3    5    2    1    1    1   19    1    0   15    0    0    1    4
   0    3    4    2    0    0    1   19    1    1    0    1    1    0    3
   0    3    4    3    1    1    0   19    1    1    0    1    0    1    3
   0   99   99   99   99   99    1   20    1    1   15    1    1    1    3
   2    3    2    2    0    0    1   19    1    0    0    1    0    1    4
   0    4   99    4    0   99    0   18    1    1    0    1    0    1    3
   0    5   99   99   99   99    0   20    1    1    0    1    0    1    3
   0.5  3    2    2    0    0    1   19    1    0   16    1    0    1    3
   3    2    3    1    0    1    1   18    1    0    7    1    0    1    3
   0    3    1    3    0    0    1   19    0    0   15    0    0    1    3
   0    4    3    3    0    1    0   21    1    0    5    1    0    1    4
   0    4    3    4    0    0    0   18    1    0    0    1    0    1    4
   4    2   99    1    1    1    1   20    1    0    6    1    0    0    4
  30    2   99    2    1    0    1   19    0    1    0    0    0    1    3
  14    2   99    1    1    0    0   19    1    0    0    1    0    1    2
   0    3    1    3    0    1    1   19    0    0    0    0    0    0    3
   0    2   99    3    0    1    0   21    0    0   18    1    0    0    2
   0    4   99   99    0    0    0   20    1    0    0    1    1    1    4
   0.5  2    3    2    1    1    1   19    1    0   20    1    1    1    4
  14    2    4    1    1    1    1   18    1    0   35    1    1    1    3
   1    2    4    2    0    1    1   19    1    0   19    1    0    1    4
   0    4    2    4    0    0    1   18    1    0    0    1    0    1    4
   0    2    5    2    1    1    1   20    1    1   20    0    0    1    4
   1.5  3    3    2    0    1    0   19    1    1    8    1    0    0    3
   0    4    2    4    0    0    1   19    1    1    0    1    0    0    3
   0    3    4    3    0    0    1   19    1    1    0    1    0    1    3
   2    2   99    2    1   99    1   20    1    0   10    1    1    1    3
   0    5   99   99   99   99    1   19    0    1   16    1    0    1    3
   0    3    3    2    0    0    1   23    0    0    0    1    0    1    4
   0    5   99   99   99   99    0   19    1    0   40    0    0    1    3
   0    2    3    3    0    1    0   20    0    0    0    1    1    1    2
   0    5   99   99   99   99    0   19    1    1   15    1    0    1    3
   0    3    3    4    0    0    1   19    1    0   16    0    0    1    3
   0    2    3    3    0    1    1   25    0    0   55    1    0    1    3
   2    2    1    2    0    1    1   19    1    0   10    1    0    1    3
   1    2    3    1    0    0    1   20    1    1    0    1    0    1    4
   0    1   99   99   99   99    1   19    1    1   10    1    0    0    4
   0    3    2    4    0    0    0   19    0    1   15    0   99    1    2
   2    2    3    2    0    1    1   21    0    0   15    0    0    1    4
   0    3    2    4    0    0    0   18    1    1   15    0   99    0    3
   2    2    4    2    1    0    1   19    0    0    0    1    0    1    3
   2    3    4    2    1    0    1   19    1    0    0    1   99    1    4
   5    3    3    2    0    1    0   20    1    0   14    1    1    1    4
   0    2    5    4    0    1    0   33    1    0   40    1    0    0    2
   3    3    3    2    0    0    1   19    1    0    5    1    1    1    3
   0    3    4    3    0    1    0   19    0    1    5    1    0    1    2

